size_mb,throughput_upload_mbps,throughput_download_mbps
5,0.4084910228969124,0.43624289544721
10,0.32342076417984683,0.5303870712836183
15,0.4999589763995136,0.5768762846017284
20,0.5697287394237232,0.4713478115826878
25,0.5120790672260606,0.501072198850844
30,0.4600477717304979,0.6819787405535545
35,0.6329709856389768,0.6479857454726906
40,0.6026509448391562,0.5028444124824983
45,0.6289578410671964,0.7071918086628507
50,0.7208304485499647,0.6186097540799591
